heading,short_desc,project_url,image_thumbnail,detail_text,image_link
Marketing Agency Supplier Discovery Day: Strategy Meets Innovation at Find8,"Find8 emerged from the idea that any business that can achieve balance, creative inspiration, and scientific relevance will discover its own kind of magic. Find8 […]",https://franchisesuppliernetwork.com/strategy-meets-innovation-find8/,https://franchisesuppliernetwork.com/wp-content/uploads/2024/05/Find8-550x300.png," , Find8 emerged from the idea that any business that can achieve balance, creative inspiration, and scientific relevance will discover its own kind of magic. Find8 encapsulates everything their performance marketing represents—creative prowess and analytical scientific applications—a masterful cohesion of science and art., In our recent Supplier Discovery Day: Marketing Agencies series, Owner of Find8, William Shelton shares how strategy meets innovation when helping your customers in the most efficient ways., A few of our key takeaways:, Utilizing performance marketing, you’ll increase your ROI and outperform goals with high quality data. Watch the full video below and learn what makes Find8 so special!, Find8 is a full-service marketing and advertising firm—the catalyst you need to evolve. Every transformation begins with strategic, divergent thinking. At Find8, they listen to your specific needs, then address them in innovative and original ways. Get in touch with them HERE., Franchise Supplier Network is a community dedicated to helping franchisors and industry suppliers connect and grow. Our impact is global and our network represents billions of dollars in commerce through franchising., Read More, , © 2024 Copyright - FranchiseSupplierNetwork.com, Powered by ClickTecs",https://franchisesuppliernetwork.com/wp-content/themes/franchise-supplier-network/img/logo-fsn.png | https://franchisesuppliernetwork.com/wp-content/themes/franchise-supplier-network/img/banner-inner-01.jpg | https://franchisesuppliernetwork.com/wp-content/uploads/2024/05/Find8.png
Marketing Agency Supplier Discovery Day: Leveraging Technology & Marketing with Scorpion,"For over two decades, Scorpion has helped local businesses leverage technology and marketing to reach their goals. Scorpion helps businesses understand their local market and […]",https://franchisesuppliernetwork.com/leveraging-technology-marketing-scorpion/,https://franchisesuppliernetwork.com/wp-content/uploads/2024/05/Scorpion-550x300.png," , For over two decades, Scorpion has helped local businesses leverage technology and marketing to reach their goals. Scorpion helps businesses understand their local market and optimize their marketing efforts to drive more revenue. Through award-winning technology and dedicated people, Scorpion helps businesses run their best business—unifying every part of their business towards reaching their goals., To kick off our recent Supplier Discovery Day: Marketing Agencies series, we talked to Gabriella Ferrara, Vice President of Strategic Sales, Franchise at Scorpion about what makes them unique in the industry., A few of our key takeaways:, By utilizing A.I. in your marketing strategies, you can gain deeper insights into your local market and enhance marketing campaigns to boost revenue effectively. Watch the full video below to learn more!, Scorpion is the leading provider of technology and services helping local businesses thrive. Get in touch with them here and start your A.I.-powered journey today!, Franchise Supplier Network is a community dedicated to helping franchisors and industry suppliers connect and grow. Our impact is global and our network represents billions of dollars in commerce through franchising., Read More, , © 2024 Copyright - FranchiseSupplierNetwork.com, Powered by ClickTecs",https://franchisesuppliernetwork.com/wp-content/themes/franchise-supplier-network/img/logo-fsn.png | https://franchisesuppliernetwork.com/wp-content/themes/franchise-supplier-network/img/banner-inner-01.jpg | https://franchisesuppliernetwork.com/wp-content/uploads/2024/05/Scorpion.png
Woven: Boosting LMS Usage & Franchisor ROI,"Unlike a traditional Learning Management System (LMS) that exists as a standalone platform, Woven’s integrated Learning & Development tools are revolutionizing how franchises train, engage, […]",https://franchisesuppliernetwork.com/woven-lms-usage-franchisor-roi/,https://franchisesuppliernetwork.com/wp-content/uploads/2024/04/Resource-Banner-10-550x300.png," , Unlike a traditional Learning Management System (LMS) that exists as a standalone platform, Woven’s integrated Learning & Development tools are revolutionizing how franchises train, engage, and retain their employees. This approach is not only enhancing the learning experience but also significantly boosting usage rates and ROI for franchisors., Hear more from Woven’s recent blog post:, , , The typical LMS works in isolation, often requiring separate logins and manual management by location managers. This traditional model results in low engagement after the initial onboarding, with frontline employees rarely using the system. However, in ways that ensure franchisees and their employees will see them every day, Woven’s integration means that training and development become a natural part of employees’ daily routines, dramatically increasing usage and engagement., , Woven’s platform does more than just host content; it makes learning a vital part of the franchise’s operational ecosystem. When new courses need to be taken or content updated, the integration ensures that frontline employees are immediately aware and engaged. This constant visibility means that learning is not a separate, forgettable task but a continuous, engaging process. The result is a significant increase in newly learned information and practices within the franchise, directly impacting the franchisor’s ROI., , , By moving away from the disconnected nature of traditional LMS solutions, franchises report not just improvements in employee performance and satisfaction but also in operational efficiency and cost savings. This improvement is a testament to Woven’s model, resulting in higher ROI for franchisors through increased engagement and training courses., , Check out Woven’s post here. Get connected with Woven here!, Franchise Supplier Network is a community dedicated to helping franchisors and industry suppliers connect and grow. Our impact is global and our network represents billions of dollars in commerce through franchising., Read More, , © 2024 Copyright - FranchiseSupplierNetwork.com, Powered by ClickTecs",https://franchisesuppliernetwork.com/wp-content/themes/franchise-supplier-network/img/logo-fsn.png | https://franchisesuppliernetwork.com/wp-content/themes/franchise-supplier-network/img/banner-inner-01.jpg | https://franchisesuppliernetwork.com/wp-content/uploads/2024/04/Resource-Banner-10.png
ServiceMinder + Mosquito Squad: A Buzzing Business Triples,Mosquito Squad is proud to be America’s most trusted mosquito and tick company dedicated exclusively to controlling the annoying outdoor pests that ruin your backyard […],https://franchisesuppliernetwork.com/serviceminder-mosquito-squad-a-buzzing-business-triples/,https://franchisesuppliernetwork.com/wp-content/uploads/2024/03/Resource-Banner-2-1-550x300.png," , Mosquito Squad is proud to be America’s most trusted mosquito and tick company dedicated exclusively to controlling the annoying outdoor pests that ruin your backyard experience and transmit diseases., In 2018, Mosquito Squad started to search for a new CRM because the brand needed more technology and consistency in daily operations. At this point, the brand was non-digital, with zero automation. Their daily workflow relied on manual efforts, which was no longer sustainable to reach their brand goals., After demoing seven different CRMs, the Mosquito Squad team chose to partner with serviceminder because it was the only solution that checked all their boxes:, One Mosquito Squad location can have 800+ appointments during busy season in one workday, averaging about 78 appointments across all locations. serviceminder has played a crucial role in increasing efficiency for all locations by streamlining dispatch and scheduling for service agents., As the industry evolves and new challenges arise, serviceminder continues to support Mosquito Squad with new functionalities and integrations. The platforms connectivity, integrations, and open API have played a vital role in supporting the brands growth and ensuring consistency across locations. This allows all locations to stay connected as well as consistent., An unforeseen benefits noted by Mosquito Squad is the reliability of serviceminder compared to other solutions, with almost zero technical downtime., Jones mentioned that the team at serviceminder is not afraid to say no. They apply their experience and knowledge within the industry when deciding to make feature updates., They appreciate the collaborative relationship, noting that while the answer may sometimes be no, serviceminder works with them as strategic partners., Being genuine and collaborative are two of serviceminder’s four core values. They embrace every brand like it’s their own and believe in the power of authenticity., “There is little to no downtime. We recognize the importance of the stability of serviceminder. We trust and rely on serviceminder to help us systematize our operations, so the secureness of their platform is crucial. serviceminder’s capabilities were exactly what we needed at the time and now, 5 years later. Our Zees rely on serviceminder to not only communicate with clients but to enhance their experience daily.” – Hugh Jones, Director of Product at Authority Brands, Upon its founding in 2013, serviceminder had one mission in mind: to help home service (and commercial service) franchise businesses acquire and convert more leads, schedule more appointments, close more deals and communicate with clients more effectively., Get connected with Serviceminder here, Franchise Supplier Network is a community dedicated to helping franchisors and industry suppliers connect and grow. Our impact is global and our network represents billions of dollars in commerce through franchising., Read More, , © 2024 Copyright - FranchiseSupplierNetwork.com, Powered by ClickTecs",https://franchisesuppliernetwork.com/wp-content/themes/franchise-supplier-network/img/logo-fsn.png | https://franchisesuppliernetwork.com/wp-content/themes/franchise-supplier-network/img/banner-inner-01.jpg | https://franchisesuppliernetwork.com/wp-content/uploads/2024/03/Resource-Banner-2-1.png
Quick Data Without Breaking the Bank: Why a K9 Resorts Franchisee Uses Smappen for Expansion,"K9 Resorts is an award-winning luxury dog boarding and daycare franchise founded in 2005 with over 30 locations throughout the United States, including New York, […]",https://franchisesuppliernetwork.com/k9-resorts-smappen/,https://franchisesuppliernetwork.com/wp-content/uploads/2024/03/Resource-Banner-16-550x300.png," , K9 Resorts is an award-winning luxury dog boarding and daycare franchise founded in 2005 with over 30 locations throughout the United States, including New York, New Jersey, Pennsylvania, Texas, Florida, and Arizona. They offer cage-free boarding, daycare services with group play, and more., Michael Dore runs MCD Associates LLC, a K9 Resorts multi-franchisee, currently operates two K9 Resorts locations in Texas and plans to grow to at least eight locations in that market and is looking to expand into other territories. As an operator, Michael’s day-to-day is all about taking care of the behind-the-scenes operations that keep the business growing., His mission:, As a franchisee with a growing business, Michael needed a way to research potential sites for new locations. Finding the perfect site involved multiple factors, including outdoor space for multiple dogs, proximity to habitual locations for his customers (like fast food joints and coffee shops), and demographics like high annual income. But while Michael’s commercial realtor provides sites, Michael likes to dig into the advanced data behind them himself to reduce the back and forth—which is why he went looking for a tool he could start using quickly with no learning curve., “We’re a smaller franchise group and we’re growing. We don’t have the funds to buy one of the huge location intelligence platforms and we don’t have the use for it since we don’t have a dedicated person to work on it. We need data where it’s quick and usable.”, While Michael gets a ton of support from his franchisor, he also likes to develop his own independent opinion in site selection. Since site research is just one of the many tasks he’s responsible for as an operator, meaning he likes to move quickly. That’s why Smappen is his location intelligence tool of choice., “My realtors or corporate may have some of the information I need, but I sometimes don’t want to wait for the time it takes them to give me my data. If I’m working on a project, I just want to work on it. Smappen is a tool where we can get quick information really easily.”, As Michael’s franchise grows, he’s looking for opportunities outside of Houston, both throughout Texas and in other states. As a Houston native working with a Houston realtor, he can get a ton of information about which neighborhoods he should set up shop in. But he needed a bit more help in other areas, and that’s why he turned to Smappen., “My realtor works with me in Houston, and he’s not going to work with me if I go to Boston, Chicago, or Denver. So I decided to test Smappen. I liked that it was a monthly membership, and you could just sign up and cancel whenever. I like Smappen and it’s been working well for us.”, Smappen has filled a slot as an end-to-end location research partner for Michael and his franchise by giving them access to demographics, point-of-interest data, and more. It’s not just affordability that’s made Smappen Michael’s tool of choice; it’s empowering him to jump in whenever he needs to and do some quick research with a simple UI and dynamic maps., “With Smappen, I just type in an address and I get demographics super quickly. I can look at households over a certain income, then start looking at radiuses to compare the demographics in a one-mile radius versus a five-mile radius.”, “A lot of location intelligence tools are too cost-prohibitive, and you often have to pay upfront. There’s definitely a larger barrier to entry with some of that data. Smappen is low-cost, it works, and it gives me the information I need. And when I’ve talked to the Smappen team about features I needed, they were rolled out within a couple of weeks.” – Michael Dore, K9 Resorts Franchisee, Get connected with Smappen here, Franchise Supplier Network is a community dedicated to helping franchisors and industry suppliers connect and grow. Our impact is global and our network represents billions of dollars in commerce through franchising., Read More, , © 2024 Copyright - FranchiseSupplierNetwork.com, Powered by ClickTecs",https://franchisesuppliernetwork.com/wp-content/themes/franchise-supplier-network/img/logo-fsn.png | https://franchisesuppliernetwork.com/wp-content/themes/franchise-supplier-network/img/banner-inner-01.jpg | https://franchisesuppliernetwork.com/wp-content/uploads/2024/03/Resource-Banner-16.png
Morrow Hill Partners with the Franchise Ascension Initiative,Morrow Hill Announces Support for New Initiative to Catalyze Franchise Ownership Among Underrepresented Groups New accelerator program from the International Franchise Association seeks to increase […],https://franchisesuppliernetwork.com/morrow-hill-franchise-ascension-initiative/,https://franchisesuppliernetwork.com/wp-content/uploads/2024/04/Resource-Banner-6-550x300.png," , Morrow Hill Announces Support for New Initiative to Catalyze Franchise Ownership Among Underrepresented Groups, New accelerator program from the International Franchise Association seeks to increase franchise business ownership to narrow wealth gap, DALLAS – Morrow Hill today announces its support for the International Franchise Association (IFA)’s new Franchise Ascension Initiative, an accelerator program established to support individuals from underrepresented communities with education, mentorship, resources, and financial support to successfully launch a career in franchise ownership. By increasing diversity in the franchisee talent pipeline, the Ascension Initiative aims to narrow the wealth gap and provide qualified individuals with business ownership opportunities., “Franchising is one of the greatest pathways to business ownership and creating generational wealth,” said Matt Haller, IFA President and CEO. “This program ensures that access to opportunity is available to everyone, regardless of background. What better way to bridge the wealth gap than through opening more doors for minority business owners. With the support of our generous partners like Morrow Hill, the Ascension Initiative will further help franchising changes lives and communities.”, Morrow Hill contributed $50,000 to launch the effort, which will begin accepting applications in the coming months. The first cohort of participants is expected in late 2024., “The Franchise Ascension Initiative resonates deeply with me on a personal level. I know firsthand the impact mentors and supportive networks have on one’s entrepreneurial journey,” said Jonathan Hill, Co-Founder of Morrow Hill. “My career has been marked by mentors who took a chance on me and provided guidance that allowed me to be where I am today. Now, I am privileged to be able to pay it forward by supporting programs like the Franchise Ascension Initiative that provides similar guidance to aspiring franchise owners.”, According to data from Oxford Economics, Black-owned franchises earn 2.2 times more than Black-owned independent businesses; Hispanic-owned franchises earn 1.6 times more than Hispanic-owned independent businesses; and Asian-owned franchises earn 1.4 times more than Asian-owned independent businesses., The Franchise Ascension Initiative will select capable candidates for a rigorous six-month education program to help them build the essential skills they need to be successful franchisees. Building on IFA’s extensive library of franchise educational materials, the program will be specifically curated for participants, along with individualized mentorship. The program will culminate in a pitch contest with potential franchise opportunities., More information on the Ascension Initiative is available here., About Morrow Hill: , Morrow Hill is a leading commercial real estate firm dedicated to exclusively representing tenants and buyers. Cutting-edge, proprietary technology empowers Morrow Hill to locate the best sites for clients swiftly and efficiently, ensuring optimal outcomes in the shortest possible time. By exclusively representing tenants, Morrow Hill clients are presented with a truly impartial and unbiased view of the market. For more information on all Morrow Hill’s services, please visit morrowhill.com., About the International Franchise Association:, Celebrating over 60 years of excellence, education, and advocacy, the International Franchise Association (IFA) is the world’s oldest and largest organization representing franchising worldwide. IFA works through its government relations and public policy, media relations, and educational programs to protect, enhance and promote franchising and the approximately 806,270 franchise establishments that support nearly 8.7 million direct jobs, $858.5 billion of economic output for the U.S. economy, and almost 3 percent of the Gross Domestic Product (GDP). IFA members include franchise companies in over 300 different business format categories, individual franchisees, and companies that support the industry in marketing, law, technology, and business development., Get connected with Morrow Hill here, Franchise Supplier Network is a community dedicated to helping franchisors and industry suppliers connect and grow. Our impact is global and our network represents billions of dollars in commerce through franchising., Read More, , © 2024 Copyright - FranchiseSupplierNetwork.com, Powered by ClickTecs",https://franchisesuppliernetwork.com/wp-content/themes/franchise-supplier-network/img/logo-fsn.png | https://franchisesuppliernetwork.com/wp-content/themes/franchise-supplier-network/img/banner-inner-01.jpg | https://franchisesuppliernetwork.com/wp-content/uploads/2024/04/Resource-Banner-6.png
Maximize Your Advertising Dollars with Programmatic Ads,"Awarity is an AI-powered advertising platform that helps brands reach their ideal customers more efficiently than other forms of awareness advertising, driving industry-leading ROI through […]",https://franchisesuppliernetwork.com/awarity-programmatic-ads/,https://franchisesuppliernetwork.com/wp-content/uploads/2024/04/Resource-Banner-5-550x300.png," , Awarity is an AI-powered advertising platform that helps brands reach their ideal customers more efficiently than other forms of awareness advertising, driving industry-leading ROI through programmatic advertising., Programmatic advertising has become a dominant force in digital marketing due to its efficiency, targeting capabilities, and data-driven approach. , Programmatic Advertising provides a way for franchise locations to reach their target audience effectively with localized messaging at the lowest cost possible. Layering on top of your other marketing, CTV and Banner Ads amplify your other marketing channels by reaching more unique people and driving them to your website., With most households already on Connected TV, the opportunities for reaching your target audience on streaming platforms are endless. CTV/OTT will grow a staggering 53.8% this year! By targeting the end viewer and not the specific channel or time slot, your marketing budget is being used as efficiently as possible. Franchise networks should not wait to take advantage of this explosive channel., Utilizing HTML5 animated banner ads allows you to engage with current and potential customers across various channels and apps, ensuring your brand stays top of mind. By appearing on websites your audience visit often or adjacent to specific keywords, banner ads reach your target audience where they are already spending time online. , Adding both CTV and Banner ads to your marketing strategy, your brand will have the unprecedented ability to reach your audience wherever they are for a relatively low cost compared to traditional advertising methods., If you want to learn how Awarity can customize a solution to help your franchise maximize growth with turn-key solutions for micro-targeted mass media programmatic campaigns, please reach out to find out how it works!, Get connected with Awarity here, Franchise Supplier Network is a community dedicated to helping franchisors and industry suppliers connect and grow. Our impact is global and our network represents billions of dollars in commerce through franchising., Read More, , © 2024 Copyright - FranchiseSupplierNetwork.com, Powered by ClickTecs",https://franchisesuppliernetwork.com/wp-content/themes/franchise-supplier-network/img/logo-fsn.png | https://franchisesuppliernetwork.com/wp-content/themes/franchise-supplier-network/img/banner-inner-01.jpg | https://franchisesuppliernetwork.com/wp-content/uploads/2024/04/Resource-Banner-5.png
Leasecake’s Guide to Understanding Tenant CAM Charges,"If you’re a commercial lease tenant, you’ve probably come across the term “CAM charges” in your lease agreement. CAM, which stands for Common Area Maintenance, […]",https://franchisesuppliernetwork.com/understanding-cam-charges/,https://franchisesuppliernetwork.com/wp-content/uploads/2024/01/Resource-Banner-17-550x300.png," , If you’re a commercial lease tenant, you’ve probably come across the term “CAM charges” in your lease agreement. CAM, which stands for Common Area Maintenance, is a significant component of many commercial leases. Understanding CAM charges is crucial, as they can significantly impact your operational expenses as a tenant. To help you navigate this complex aspect of leasing, we’ve created a comprehensive guide that breaks down CAM charges and explains why it’s essential for tenants to grasp their implications., Leasecake is lease and location management made easy for the franchise industry, providing a pain-killing application that helps proactively oversee one of the largest risks in their business – their real estate leases. In this blog post, they’ll explore what CAM charges are, why they matter, and how you can gain access to our invaluable guide., CAM charges are fees incurred by tenants in commercial properties for the maintenance, repair, and operation of common areas in the building or complex. These common areas typically include lobbies, hallways, elevators, parking lots, landscaping, and other shared spaces. CAM charges are meant to cover the costs associated with keeping these areas in good condition., Financial Clarity: CAM charges can significantly affect your bottom line. Without a clear understanding of these costs, you may end up overpaying or underestimating your financial obligations, potentially harming your business’s financial health., Budget Planning: To effectively manage your business expenses, it’s essential to incorporate CAM charges into your budget. Knowing what to expect in terms of these charges can help you allocate funds appropriately and avoid financial surprises., Negotiation Leverage: A comprehensive understanding of CAM charges gives you the upper hand when negotiating your lease agreement. Armed with this knowledge, you can engage in productive discussions with your landlord to potentially reduce or cap CAM charges to a more favorable level., Avoiding Disputes: Misunderstandings and disputes related to CAM charges can lead to costly legal battles and sour tenant-landlord relationships. By comprehending CAM charges, you can minimize the likelihood of such conflicts and maintain a positive working relationship., To empower commercial lease tenants with the knowledge needed to navigate CAM charges effectively, we’ve created an in-depth guide you can download to help you in this process. The guide includes:, Explanation of CAM Components: Our guide breaks down the different elements that make up CAM charges, including maintenance, repairs, insurance, taxes, and more. You’ll gain clarity on what each of these components entails., Calculation Methods: CAM charges can be calculated in various ways, such as the triple net method or the gross lease method. Our guide provides insights into these calculation methods, allowing you to decipher how your CAM charges are determined., Auditing CAM Charges: Tenants have the right to audit CAM charges to ensure transparency and accuracy. Learn how to exercise this right and discover potential discrepancies in your charges., Negotiation Strategies: If you’re in the process of signing a new lease or renegotiating an existing one, our guide offers valuable negotiation strategies to help you secure more favorable CAM terms., To download the comprehensive guide on understanding CAM charges in commercial leases, click here: https://leasecake.com/blog/tenants-guide-to-understanding-cam-charges/,  , Understanding CAM charges is essential for any commercial lease tenant looking to make sound financial decisions and maintain a positive relationship with their landlord. By grasping the nuances of CAM charges, you can ensure that you’re not caught off guard by unexpected expenses and that you have the necessary knowledge to negotiate favorable terms. Download our guide today to empower yourself with the insights and strategies required to master the art of managing CAM charges in your commercial lease., Leasecake makes lease and location management a piece of cake with our simple, easy to use, and affordable software, starting at just $6/month/location. Our software was built to help you understand all of your lease obligations, including rent and CAM, quickly and easily, whenever and wherever you are. Would you like to learn more? Let’s schedule a demo to show you how simple our platform is., Get connected with Leasecake here!, Franchise Supplier Network is a community dedicated to helping franchisors and industry suppliers connect and grow. Our impact is global and our network represents billions of dollars in commerce through franchising., Read More, , © 2024 Copyright - FranchiseSupplierNetwork.com, Powered by ClickTecs",https://franchisesuppliernetwork.com/wp-content/themes/franchise-supplier-network/img/logo-fsn.png | https://franchisesuppliernetwork.com/wp-content/themes/franchise-supplier-network/img/banner-inner-01.jpg | https://franchisesuppliernetwork.com/wp-content/uploads/2024/01/Resource-Banner-17.png
ServiceMinder’s 2024 Conference Schedule,"If you’re part of the franchise scene, whether you’re a member, supplier, or franchisor, you understand just how game-changing networking events can be. These events […]",https://franchisesuppliernetwork.com/serviceminder-2024-conference-schedule/,https://franchisesuppliernetwork.com/wp-content/uploads/2024/04/Resource-Banner-3-550x300.png," , If you’re part of the franchise scene, whether you’re a member, supplier, or franchisor, you understand just how game-changing networking events can be. These events are where the magic happens – you get to connect with fellow community members, pick the brains of industry bigwigs, and uncover fresh solutions for your brand or platform. Having been supplier members for nearly a decade and home services vendors for over 12 + years, ServiceMinder is psyched to jump into some of the greatest conferences this industry has to offer!, Before they roll out their 2024 event schedule, we should probably give you a little background on them for any newbies out there., ServiceMinder is the platform for managing and operating home services brands., Acquire leads seamlessly with 24/7 scheduling, branded proposals, and targeted email campaigns. Track leads with extensive reporting options and convert prospects by enhancing client experience through innovation. Grow your franchise by making decisions based on data, at the brand or location level., Automate and simplify your brand’s entire workflow on one award-winning, franchised-focused platform., For updates on ServiceMinder and travel schedules follow them on LinkedIn, Get connected with ServiceMinder here!, Franchise Supplier Network is a community dedicated to helping franchisors and industry suppliers connect and grow. Our impact is global and our network represents billions of dollars in commerce through franchising., Read More, , © 2024 Copyright - FranchiseSupplierNetwork.com, Powered by ClickTecs",https://franchisesuppliernetwork.com/wp-content/themes/franchise-supplier-network/img/logo-fsn.png | https://franchisesuppliernetwork.com/wp-content/themes/franchise-supplier-network/img/banner-inner-01.jpg | https://franchisesuppliernetwork.com/wp-content/uploads/2024/04/Resource-Banner-3.png
Boulevard of Broker Dreams: Senate Bill 919 Explained,Premier franchise law firm Fisher Zucker is always keeping up to date with ever-changing franchise laws & regulations: California’s proposed Senate Bill No. 919 (“Bill […],https://franchisesuppliernetwork.com/senate-bill-919/,https://franchisesuppliernetwork.com/wp-content/uploads/2024/04/Resource-Banner-2-550x300.png," , Premier franchise law firm Fisher Zucker is always keeping up to date with ever-changing franchise laws & regulations:, California’s proposed Senate Bill No. 919 (“Bill 919”) is indicative of a growing trend in the franchising industry to increase the regulation of franchise brokers and to shift the compliance burden to the brokers themselves. Historically, franchise laws have focused on requiring affirmative disclosures by franchisors so that franchisee prospects can obtain information about the franchise system to better understand the business opportunity that they are evaluating. While the vast majority of franchise registration states require franchisors to submit information about their third-party brokers in franchise seller disclosure forms, only two (New York and Washington), have historically required brokers to register themselves with the state., If passed, Bill 919 would require third-party franchise sellers, colloquially known as franchise brokers, to register with the State of California. The fee for a franchise seller filing an initial registration application is $250, with a $150 annual renewal fee and $50 fee to amend a registration upon a material change to the application information. More notably, Bill 919 goes above and beyond the registration requirement, which is also found in New York and Washington law, by adding a disclosure component., Under Bill 919, franchise brokers would be required to disclose some of the information that is traditionally provided by franchisors in their Franchise Disclosure Document (“FDD”).  Specifically, brokers must submit a Uniform Third-Party Franchise Seller Disclosure Form and a Uniform Third-Party Franchise Seller Disclosure Document (“FSDD”) along with their registration application. In addition to registering the FSDD with the state, franchise sellers must also present this document to a prospective franchisee prior to engaging with them about a franchise opportunity., The FSDD must include the following information:, While not nearly as extensive as the FDD’s disclosure obligations, Bill 919’s FSDD tracks some of the types of items that must also be disclosed by franchisors, such as litigation history and fee structure., With respect to enforcement, Bill 919 creates a cause of action that allows franchisees to sue for damages and rescission if the seller violates the law with respect to a franchise sale. Additionally, the California commissioner can issue a stop order prohibiting a franchise seller from offering or selling franchises in the state if it finds that a seller has failed to comply with any applicable provisions of law or rules issued by the commissioner., The bill is not limited to sellers located in the State of California. The new rules and penalties will also to any scenario when a prospective franchisee is a resident of California, has its principal place of business in California, or if the franchised business is located in California; this essentially extends the scope of Bill 919 to any franchise broker that wishes to sell franchises that will be located in California or sell franchises to prospects located in California., Furthermore, as none of the mandatory disclosure items are limited to California sellers or California franchisees, it appears that Bill 919 may have a secondary purpose of creating a template for the regulation of franchise sellers on a nationwide level. Coupled with the fact that the International Franchise Association assisted in crafting this bill, we view Bill 919 as a bellwether of more regulation to come, either from additional registration states acting individually or through the North American Securities Administrators Association (NASAA). Sponsored by Senator Tom Umberg, Bill 919 is being considered by the Rules Committee and would go into effect July 1, 2025., Get connected with Fisher Zucker here!, Franchise Supplier Network is a community dedicated to helping franchisors and industry suppliers connect and grow. Our impact is global and our network represents billions of dollars in commerce through franchising., Read More, , © 2024 Copyright - FranchiseSupplierNetwork.com, Powered by ClickTecs",https://franchisesuppliernetwork.com/wp-content/themes/franchise-supplier-network/img/logo-fsn.png | https://franchisesuppliernetwork.com/wp-content/themes/franchise-supplier-network/img/banner-inner-01.jpg | https://franchisesuppliernetwork.com/wp-content/uploads/2024/04/Resource-Banner-2.png
